Latitude,Longitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),N
41,-100,0.606620061,0.768964505,0.789882479,0.769411371,0.768484808,0.743906816,0.703536844,0.671259626,0.493195934,0.375955003,0.338040529,0.331388273,0.296333693,0.306284537,0.3996353,0.409942101,0.382936849,0.267776499,0.182827953,0.041064237,0.082805942,0.272033815,0.402870167,43
41,-88,0.841917405,1.031484361,1.135975215,1.107256555,1.107039108,1.095274862,0.9265193,0.84795632,0.632186371,0.569425721,0.547692008,0.450648504,0.327704937,0.261495328,0.260492113,0.182198506,0.118990509,0.055656265,-0.097062182,-0.086280557,-0.01441868,-0.036929616,-0.075140038,44
41,-86,0.850225979,0.621903193,0.748677416,0.806269258,0.786765346,0.778041804,0.804406839,0.76237417,0.815410385,0.935013949,0.990453802,0.918590198,0.823860581,0.763118482,0.606129938,0.587884099,0.510322432,0.575640058,0.40312169,0.53278236,0.737736237,0.553655595,0.445849085,45
41,-66,-0.30405906,0.206287841,0.175215,0.13169521,0.241203737,0.299069259,0.340977735,0.053047332,-0.547052079,-0.911990275,-1.216427963,-1.392041305,-1.69190251,-1.752657707,-1.758006179,-1.692125027,-1.870810652,-2.070884779,-2.169779119,-2.167082842,-2.06095727,-1.826546183,-1.675400328,49
43,-104,0.15783818,0.587298579,0.44825391,0.326035583,0.246735622,0.168830835,0.045894717,0.108245439,0.136498483,0.171405906,0.25581691,0.289782256,0.435988862,0.418017797,0.418279905,0.392946146,0.218664007,0.057634615,-0.07700844,-0.100444052,-0.017196748,0.226658469,0.378454648,50
45,-78,-0.279734785,0.183700169,0.057266715,0.017518682,-0.052358651,-0.102433968,-0.222827838,-0.302144637,-0.281038974,-0.148858724,-0.072062755,-0.073509848,-0.104030021,-0.172724673,-0.421447854,-0.687800898,-0.843070406,-0.738040897,-0.554501708,-0.454414807,-0.303436377,0.070590234,0.293188199,57
45,-76,0.209547722,0.160417171,0.16928524,0.225048432,0.210645709,0.209044698,0.199729293,0.083672687,0.056847857,0.094696102,0.121475427,0.126274975,0.108869405,0.07624769,-0.081999368,-0.12928958,-0.1438817,-0.123914917,-0.109025774,-0.043931609,0.009634601,0.084575573,0.054594494,58
45,-74,0.488081975,0.537297077,0.52242405,0.515747126,0.508783587,0.491271466,0.551856127,0.510545801,0.449824482,0.489326563,0.493050226,0.42296897,0.307225908,0.234452923,0.113201501,0.072795804,-0.032314697,-0.097188224,-0.073909349,-0.021045627,0.062939393,0.221917121,0.235698608,59
45,-66,-0.480544276,-0.488231635,-0.469827346,-0.39528004,-0.391748202,-0.401469833,-0.480679534,-0.565162417,-0.537946887,-0.447325893,-0.350538279,-0.305376258,-0.268282088,-0.232914813,-0.169759467,-0.236897033,-0.494493805,-0.60988342,-0.626684584,-0.612070762,-0.511489879,-0.228454669,-0.055740712,61
47,-76,0.437378364,0.702446257,0.657727777,0.655116758,0.604815295,0.549514566,0.441108053,0.382642399,0.371255431,0.499348827,0.554074631,0.566771274,0.52704644,0.463847841,0.29560952,0.168388114,-0.017190147,-0.080328727,-0.04742514,-0.011153964,0.072897933,0.322296994,0.42678915,65
47,-72,0.024805663,-0.162819754,-0.241925478,-0.062324822,-0.027253552,-0.005531541,0.103970838,0.004746583,0.010512085,-0.06103781,-0.075903797,-0.057024189,-0.123741093,-0.204989402,-0.329218998,-0.429670985,-0.444322088,-0.51049196,-0.478575897,-0.424337709,-0.489449541,-0.531354565,-0.565213347,66
47,-70,-0.093951574,-0.18428854,-0.229719916,-0.066483649,-0.013143319,0.025274574,0.052605621,-0.031402874,-0.157750302,-0.168568656,-0.180203373,-0.202465525,-0.246775723,-0.290012124,-0.440301352,-0.554035266,-0.642620285,-0.648691082,-0.574389311,-0.493296649,-0.431732044,-0.355039142,-0.348573772,67
47,-66,0.059528094,0.029294835,0.050126101,0.170956128,0.143156612,0.122120589,0.169184871,0.132483434,-0.11711841,-0.056460081,0.115147623,0.19733123,0.281640204,0.351580361,0.36528245,0.343590843,0.055200049,-0.093753186,-0.108513464,-0.083169161,0.021309605,0.314265656,0.498274261,69
49,-72,-0.435999075,-0.640813354,-0.773688142,-0.80788396,-0.859975306,-0.738817498,-0.485547374,-0.283604076,-0.105824231,-0.145781029,-0.138189907,-0.152046313,-0.221514698,-0.223734137,-0.336943249,-0.5236743,-0.797187741,-0.859567516,-0.999396689,-1.05050984,-1.111966822,-1.264372689,-1.37056742,70
