-96	34.35
-95.95	34.35
-95.95	34.3
-95.55	34.3
-95.55	34.25
-95.4	34.25
-95.4	34.2
-95.3	34.2
-95.3	34.15
-95.2	34.15
-95.2	34.2
-95.15	34.2
-95.15	34.15
-95.05	34.15
-95.05	34.1
-94.1	34.1
-94.1	34.15
-93.75	34.15
-93.75	34.1
-93.65	34.1
-93.65	34.15
-93.6	34.15
-93.6	34.1
-93.3	34.1
-93.3	34.15
-93.25	34.15
-93.25	34.2
-93.05	34.2
-93.05	34.25
-92.95	34.25
-92.95	34.3
-92.9	34.3
-92.9	34.35
-92.55	34.65
-92.35	34.65
-92.35	34.7
-92.15	34.9
-92.05	34.9
-92.05	34.95
-92	35
-91.95	35
-91.95	35.1
-91.85	35.1
-91.85	35.2
-91.7	35.2
-91.7	35.25
-91.65	35.3
-91.55	35.3
-91.55	35.35
-91.4	35.5
-91.35	35.5
-91.35	35.55
-91.4	35.55
-91.5	35.65
-91.5	35.75
-91.35	35.75
-91.35	35.8
-91.3	35.85
-91.25	35.85
-91.25	35.95
-91.2	36.05
-91.1	36.05
-91.1	36.1
-91.05	36.1
-91.05	36.15
-90.85	36.4
-90.85	36.5
-90.7	36.5
-90.7	36.55
-90.65	36.6
-90.55	36.6
-90.55	36.65
-90.45	36.65
-90.45	36.7
-90.25	36.9
-90.15	36.9
-90.15	37.05
-90.1	37.1
-90	37.1
-90	37.15
-89.95	37.2
-89.85	37.2
-89.85	37.25
-89.75	37.25
-89.75	37.3
-89.6	37.3
-89.5	37.3
-89.4	37.2
-89.35	37.15
-89.35	37.1
-89.25	37.1
-89.25	37.2
-89.15	37.3
-88.85	37.3
-88.85	37.25
-88.75	37.25
-88.75	37.3
-88.55	37.3
-88.5	37.35
-88.15	37.2
-87.95	36.95
-87.9	36.75
-87.8	36.55
-87.9	36.3
-87.9	36.1
-87.95	36.05
-87.95	35.95
-88.05	35.85
-88.1	35.85
-88.1	35.5
-88.05	35.45
-88.05	35.35
-88.05	35.2
-87.95	35.15
-87.95	35.1
-88	35.1
-88.1	35.05
-88.1	35
-88.1	34.95
-88.05	34.95
-87.95	34.9
-87.95	34.85
-88.05	34.85
-88.1	34.75
-88	34.7
-87.95	34.7
-87.95	34.65
-88	34.65
-88.05	34.6
-88	34.5
-87.85	34.5
-87.8	34.4
-87.75	34.4
-87.75	34.35
-87.7	34.3
-87.7	34.25
-87.85	34.25
-87.85	34.2
-87.85	34.15
-87.75	34.1
-87.75	34.05
-87.7	34.05
-87.8	33.95
-87.75	33.95
-87.75	33.75
-87.65	33.75
-87.65	33.5
-87.6	33.45
-87.6	33.35
-87.45	33.35
-87.4	33.3
-87.35	33.3
-87.3	33.35
-87.25	33.35
-87.25	33.15
-87.1	33.15
-87.05	33.05
-86.85	33.05
-86.75	33
-86.7	33
-86.65	32.95
-86.65	32.9
-86.55	32.9
-86.55	32.8
-86.5	32.8
-86.5	32.75
-86.35	32.75
-86.35	32.7
-86.25	32.7
-86.25	32.6
-86.2	32.6
-86.15	32.55
-86.1	32.6
-85.8	32.6
-85.8	32.65
-85.75	32.65
-85.7	32.6
-85.6	32.6
-85.6	32.55
-85.35	32.55
-85.35	32.6
-85.3	32.6
-85.3	32.55
-85.05	32.55
-85.05	32.5
-84.95	32.5
-84.95	32.55
-84.65	32.55
-84.65	32.6
-84.5	32.65
-84.3	32.65
-84.3	32.7
-84.25	32.7
-84.25	32.65
-84.15	32.65
-84.15	32.7
-84.05	32.7
-84.05	32.75
-83.95	32.75
-83.95	32.8
-83.8	32.8
-83.8	32.85
-83.55	32.85
-83.55	32.95
-83.4	33.05
-83.35	33.05
-83.35	33
-83.2	33
-83.2	33.05
-83.05	33.05
-83.05	33.1
-82.9	33.1
-82.9	33.25
-82.75	33.25
-82.7	33.35
-82.65	33.35
-82.6	33.4
-82.55	33.4
-82.55	33.35
-82.4	33.35
-82.4	33.4
-82.35	33.45
-82.1	33.45
-82.1	33.5
-81.9	33.5
-81.95	33.65
-81.9	33.7
-81.85	33.7
-81.85	33.85
-81.75	33.9
-81.55	33.9
-81.55	33.95
-81.4	33.95
-81.4	34
-81	34
-81	34.25
-80.8	34.25
-80.75	34.35
-80.7	34.35
-80.6	34.35
-80.55	34.35
-80.55	34.5
-80.5	34.5
-80.5	34.65
-80.45	34.75
-80.4	34.75
-80.35	34.8
-80.25	34.8
-80.1	34.75
-80.1	34.85
-80.05	34.9
-79.95	34.9
-79.75	34.9
-79.75	35.35
-79.6	35.35
-79.6	35.4
-79.55	35.4
-79.55	35.35
-79.45	35.35
-79.4	35.35
-79.4	35.4
-79.35	35.4
-79.35	35.3
-79.2	35.4
-79.15	35.5
-78.95	35.5
-78.95	35.45
-78.8	35.45
-78.8	35.5
-78.85	35.55
-78.85	35.65
-78.8	35.75
-78.85	35.75
-78.7	35.65
-78.6	35.6
-78.45	35.6
-78.4	35.65
-78.25	35.65
-78.1	35.85
-78	35.85
-77.8	36.15
-77.7	36.15
-77.7	36.3
-77.65	36.35
-77.65	36.5
-77.6	36.55
-77.6	36.65
-77.55	36.7
-77.55	37.2
-77.5	37.2
-77.5	37.8
-77.65	37.9
-77.6	38
-77.6	38.05
-77.55	38.1
-77.5	38.1
-77.5	38.4
-77.3	38.7
-77.2	38.7
-77.2	38.75
-77.1	38.9
-77	38.9
-77	39
-76.9	39.15
-76.75	39.15
-76.75	39.2
-76.65	39.35
-76.5	39.35
-76.5	39.45
-76.4	39.45
-76.35	39.5
-76.15	39.5
-76.15	39.55
-76	39.55
-76	39.65
-75.9	39.7
-75.85	39.7
-75.85	39.65
-75.7	39.65
-75.7	39.7
-75.65	39.75
-75.45	39.75
-75.45	39.8
-75.35	39.9
-75.25	39.9
-75.25	39.95
-75.15	39.95
-75.15	40
-75.1	40.05
-74.85	40.25
-74.7	40.25
-74.5	40.45
-74.4	40.45
-74.4	40.5
-74.35	40.55
-74.25	40.55
-74.25	40.6
-74.05	40.6
-74.05	40.65
-73.85	40.85
-73.75	40.85
-73.75	40.95
-73.65	40.95
-73.65	41
-73.55	41.05
-73.4	41.05
-73.4	41.1
-73.3	41.15
-73.15	41.15
-73.15	41.2
-72.95	41.2
-72.95	41.25
-72.5	41.25
-72.5	41.3
-72.45	41.3
-72.45	41.25
-72.35	41.25
-72.35	41.3
-72	41.3
-72	41.35
-71.95	41.35
-71.9	41.3
-71.9	41.25
-71.65	41.25
-71.65	41.3
-71.55	41.3
-71.55	41.4
-71.3	41.4
-71.3	41.5
-71.1	41.5
-71.1	41.55
-70.8	41.65
-70.7	41.65
-70.7	41.75
