StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''IW.PHWY.BH''''''',41.3016,-105.4577,-0.515300517,-0.090168399,-0.183183713,-0.235671028,-0.275054462,-0.320858492,-0.329457103,-0.442783843,-0.753595958,-0.776641577,-0.768498618,-0.642512413,-0.551639348,-0.711108948,-0.709122907,-0.732582705,-0.798946495,-0.622031381,-0.631590097,-0.761131352,-0.794214844,-0.764599052,-0.737408093,610.6794,NaN
'''''''IW.RWWY.BH''''''',41.6889,-107.2102,-0.395310337,-0.523776849,-0.453936003,-0.394569806,-0.38148501,-0.384559635,-0.587167516,-0.746489348,-0.777056672,-0.904043131,-0.869786011,-0.770872295,-0.669609276,-0.574920905,-0.498077313,-0.330889148,-0.156961011,-0.071283977,-0.161290104,-0.385590019,-0.430766236,-0.378201666,-0.415935924,493.2902,NaN
'''''''IW.SMCO.BH''''''',39.1776,-106.9739,-0.764475011,-0.936005164,-0.837353481,-0.816359255,-0.849734857,-0.883146644,-1.09770235,-1.215423987,-1.179165849,-0.951879222,-0.53043173,-0.263164062,-0.62353068,-0.847010651,-0.716817763,-0.713343181,-0.595081579,-0.559578661,-0.596989261,-0.48047087,-0.394029415,-0.485138965,-0.545021575,900,NaN
"'''''''Jewell Farm, Wisconsin'''''''",42.9142,-90.2481,0.232291409,0.206674312,0.245511724,0.349217205,0.487158814,0.246755774,0.458652966,0.295987644,-0.050833224,-0.229157056,-0.165104084,-0.211837314,-0.044346342,-0.05161833,0.039937385,0.009050596,-0.090413397,-0.103686607,0.166948443,0.264809123,0.340075042,0.464123751,0.402873452,595.5,NaN
"'''''''KINGSTON, ON'''''''",44.2272,-76.4934,-0.403933741,-0.392182439,-0.346176626,-0.413711138,-0.498671639,-0.621876084,-0.488069277,-0.341437307,-0.323314723,-0.354812787,-0.397997976,-0.370337859,-0.373391974,-0.351651733,-0.357932538,-0.35201079,-0.26603309,-0.171834937,-0.236899595,-0.198658079,-0.204924801,-0.292010575,-0.344176873,2000,NaN
'''''''KY.LOKY.HN''''''',37.23658,-88.29451,0.122220073,-0.13460787,-0.018678694,0.055206888,0.137215872,0.204268722,0.234354819,0.252416162,0.143245316,-0.053951232,-0.145447967,-0.172182237,-0.124398412,-0.07978402,-0.009774083,0.02962457,0.005288251,-0.087771995,-0.302019884,-0.383466205,-0.33255084,-0.209400632,-0.143046207,790.1024,NaN
"'''''''Kansas State University--Konza Prairie, Kansas'''''''",39.1009,-96.6094,0.526372865,0.516915543,0.644076168,0.674220515,0.734884436,0.698039679,0.519824311,0.345729083,0.040767266,0.030000343,0.08880671,0.027890503,0.004205842,0.057814916,0.573191665,0.589723258,0.502234282,0.403736138,0.464840421,0.457195206,0.510812076,0.584567486,0.572882417,639.6,NaN
"'''''''Kapuskasing, ON'''''''",49.4504,-82.5079,0.358140741,0.35128439,0.508156641,0.477004884,0.50592976,0.428711605,0.526482701,0.523966465,0.347428296,0.135642129,-0.138248084,-0.060622039,-0.295574318,-0.301775276,-0.092379066,-0.066574109,-0.090872072,-0.252940864,-0.158015424,0.007364752,0.069208496,0.001279984,-0.114491659,2000,NaN
"'''''''Killbear Provincial Park, ON'''''''",45.3566,-80.2132,-0.008813021,-0.005118931,0.063118275,0.088863558,0.125751962,0.245373715,0.323220301,0.212730783,0.004990327,-0.187565888,-0.18098296,-0.228768578,-0.232193727,-0.318568064,-0.031777663,-0.057009205,-0.081919572,-0.083653644,-0.067843991,-0.002304522,-0.011217664,-0.09092555,-0.157748654,2000,NaN
"'''''''Kirkland Lake, ON'''''''",48.4972,-79.7233,-0.014841699,-0.012243555,0.091484507,0.383310487,0.426585606,0.445376268,0.09910595,-0.107091757,-0.371354488,-0.47610795,-0.497938478,-0.46250751,-0.501470344,-0.362056337,-0.413471147,-0.348498863,-0.275325006,-0.315720253,-0.264107426,-0.141394174,-0.049713265,-0.11034098,-0.167483318,2000,NaN
